Time,SensorValue
19999,69.00
22000,68.00
24001,68.00
26002,68.00
28002,68.00
30003,69.00
32004,68.00
34004,68.00
36005,68.00
38005,68.00
40006,69.00
42007,68.00
44008,69.00
46009,69.00
48009,68.00
50010,68.00
52011,69.00
54011,69.00
56011,68.00
58012,69.00
60013,68.00
62014,69.00
64015,68.00
66015,69.00
68016,69.00
70017,69.00
72017,69.00
74018,69.00
76018,69.00
78019,69.00
80020,69.00
82021,69.00
84022,69.00
86022,69.00
88023,69.00
90023,69.00
92024,69.00
94025,69.00
96025,69.00
98026,69.00
100027,69.00
102028,69.00
104029,69.00
106029,69.00
108029,69.00
110030,69.00
112031,69.00
114032,69.00
116033,69.00
118033,69.00
120034,69.00
122035,69.00
124036,69.00
126036,69.00
128037,69.00
130037,69.00
132038,69.00
134039,69.00
136040,69.00
138041,69.00
140042,69.00
142042,69.00
144043,69.00
146043,69.00
148044,69.00
150045,69.00
152046,69.00
154047,69.00
156047,69.00
158048,69.00
160049,69.00
162050,69.00
164050,69.00
166051,69.00
168051,69.00
170052,69.00
172053,69.00
174054,69.00
176055,69.00
178056,69.00
180056,69.00
182056,69.00
184057,69.00
186058,69.00
188059,69.00
190060,69.00
192060,69.00
194061,69.00
196062,69.00
198063,69.00
200064,69.00
202064,69.00
204064,69.00
206065,69.00
208066,69.00
210067,69.00
212068,69.00
214069,69.00
216069,69.00
218070,69.00
220070,69.00
222071,69.00
224072,69.00
226073,69.00
228073,69.00
230074,69.00
232075,69.00
234076,69.00
236077,69.00
238077,69.00
240077,69.00
242078,69.00
244079,69.00
246080,69.00
248081,69.00
250082,69.00
252083,69.00
254083,69.00
256083,69.00
258084,69.00
260085,69.00
262086,69.00
264087,69.00
266087,69.00
268088,69.00
270089,69.00
272090,69.00
274091,69.00
276091,69.00
278091,69.00
280092,69.00
282093,69.00
284094,69.00
286095,69.00
288096,69.00
290096,69.00
292097,69.00
294097,69.00
296098,69.00
298099,69.00
300100,69.00
302100,69.00
304101,69.00
306102,69.00
308103,69.00
310104,69.00
312104,69.00
314104,69.00
316105,69.00
318106,70.00
320107,69.00
322108,69.00
324109,69.00
326109,69.00
328110,69.00
330110,70.00
332111,70.00
334112,69.00
336113,70.00
338113,70.00
340114,70.00
342115,70.00
344116,70.00
346117,70.00
348118,70.00
350118,70.00
352118,70.00
354119,70.00
356120,70.00
358121,70.00
360122,70.00
362123,70.00
364123,70.00
366124,70.00
368124,70.00
370125,70.00
372126,70.00
374127,70.00
376127,70.00
378128,70.00
380129,70.00
382130,70.00
384131,70.00
386131,70.00
388131,70.00
390132,70.00
392133,70.00
394134,70.00
396135,70.00
398136,70.00
400136,70.00
402137,70.00
404137,70.00
406138,70.00
408139,70.00
410140,70.00
412140,70.00
414141,70.00
416142,70.00
418143,70.00
420144,70.00
422145,70.00
424145,70.00
426145,70.00
428146,70.00
430147,70.00
432148,70.00
434149,70.00
436150,70.00
438150,70.00
440151,70.00
442151,70.00
444152,70.00
446153,70.00
448154,70.00
450154,70.00
452155,70.00
454156,70.00
456157,70.00
458158,70.00
460158,70.00
462158,70.00
464159,70.00
466160,70.00
468161,70.00
470162,71.00
472163,71.00
474163,71.00
476164,71.00
478164,71.00
480165,71.00
482166,70.00
484167,70.00
486167,70.00
488168,70.00
490169,70.00
492170,70.00
494171,70.00
496172,71.00
498172,70.00
500172,70.00
502173,70.00
504174,71.00
506175,71.00
508176,71.00
510177,71.00
512177,71.00
514178,71.00
516178,72.00
518179,72.00
520180,72.00
522181,72.00
524181,72.00
526182,72.00
528183,72.00
530184,72.00
532185,72.00
534185,72.00
536185,72.00
538186,72.00
540187,72.00
542188,72.00
544189,72.00
546190,72.00
548190,72.00
550191,72.00
552192,72.00
554192,73.00
556193,72.00
558194,73.00
560194,73.00
562195,73.00
564196,73.00
566197,73.00
568198,73.00
570199,73.00
572199,73.00
574199,73.00
576200,73.00
578201,74.00
580202,73.00
582203,73.00
584204,73.00
586204,74.00
588205,74.00
590205,74.00
592206,74.00
594207,74.00
596208,74.00
598208,74.00
600209,74.00
602210,74.00
604211,75.00
606212,75.00
608212,75.00
610212,75.00
612213,76.00
614214,75.00
616215,75.00
618216,75.00
620217,75.00
622217,76.00
624218,76.00
626219,76.00
628219,76.00
630220,76.00
632221,75.00
634222,77.00
636222,76.00
638223,75.00
640224,76.00
642225,76.00
644226,75.00
646226,75.00
648226,74.00
650227,74.00
652228,74.00
654229,74.00
656230,75.00
658231,75.00
