Time,SensorValue
19999,75.00
22000,75.00
24001,75.00
26002,76.00
28002,76.00
30003,77.00
32004,78.00
34004,78.00
36005,81.00
38005,80.00
40006,79.00
42007,80.00
44008,80.00
46009,86.00
48009,90.00
50010,86.00
52011,86.00
54011,84.00
56011,82.00
58012,80.00
60013,87.00
62014,85.00
64015,85.00
66015,98.00
68016,98.00
70017,92.00
72017,87.00
74018,84.00
76018,83.00
78019,81.00
80020,80.00
82021,79.00
84022,79.00
86022,79.00
88023,80.00
90023,80.00
92024,79.00
94025,99.00
96025,119.00
98026,119.00
100027,120.00
102028,114.00
104029,105.00
106030,98.00
108030,94.00
110030,91.00
112031,89.00
114032,88.00
116033,86.00
118034,85.00
120035,90.00
122035,87.00
124036,85.00
126036,84.00
128037,91.00
130038,87.00
132039,95.00
134039,116.00
136040,132.00
138041,120.00
140042,110.00
142043,104.00
144044,99.00
146044,95.00
148044,92.00
150045,90.00
152046,93.00
154047,100.00
156048,97.00
158049,96.00
160050,92.00
162050,101.00
164050,100.00
166051,94.00
168052,90.00
170053,88.00
172054,86.00
174054,85.00
176055,84.00
178056,101.00
180057,103.00
182057,97.00
184058,95.00
186059,116.00
188059,107.00
190060,99.00
192061,93.00
194062,90.00
196063,88.00
198064,87.00
200065,86.00
202064,85.00
204065,84.00
206066,83.00
208067,83.00
210068,82.00
212069,82.00
214069,82.00
216070,81.00
218071,81.00
220071,81.00
222072,81.00
224073,80.00
226073,80.00
228074,80.00
230075,80.00
232076,80.00
234077,80.00
236078,80.00
238077,80.00
240078,80.00
242079,81.00
244080,106.00
246081,117.00
248082,107.00
250083,117.00
252083,114.00
254084,112.00
256084,121.00
258085,112.00
260086,113.00
262087,114.00
264088,111.00
266089,104.00
268089,99.00
270090,95.00
272091,93.00
274092,92.00
276092,91.00
278093,90.00
280094,89.00
282094,89.00
284095,89.00
286096,88.00
288097,88.00
290098,88.00
292099,87.00
294098,87.00
296099,87.00
298100,87.00
300101,86.00
302102,86.00
304103,86.00
306103,86.00
308104,86.00
310105,86.00
312105,86.00
314106,86.00
316107,86.00
318107,87.00
320108,87.00
322109,87.00
324110,87.00
326111,87.00
328112,87.00
330112,89.00
332112,88.00
334113,86.00
336114,86.00
338115,89.00
340116,84.00
342116,85.00
344117,86.00
346118,86.00
348119,82.00
350119,86.00
352120,97.00
354120,97.00
356121,91.00
358122,87.00
360123,115.00
362124,122.00
364125,113.00
366126,102.00
368125,94.00
370126,90.00
372127,87.00
374128,86.00
376129,84.00
378130,83.00
380131,82.00
382131,81.00
384132,81.00
386132,80.00
388133,80.00
390134,79.00
392135,78.00
394135,78.00
396136,78.00
398137,77.00
400138,77.00
402139,77.00
404140,77.00
406139,76.00
408140,76.00
410141,76.00
412142,76.00
414143,76.00
416144,76.00
418144,76.00
420145,76.00
422146,76.00
424146,75.00
426147,75.00
428148,75.00
430148,75.00
432149,75.00
434150,75.00
436151,75.00
438152,75.00
440153,75.00
442152,75.00
444153,75.00
446154,75.00
448155,75.00
450156,75.00
452157,79.00
454158,126.00
456158,150.00
458159,157.00
460160,168.00
462160,431.00
464161,185.00
466162,125.00
468163,100.00
470164,91.00
472164,91.00
474165,88.00
476166,86.00
478167,85.00
480167,84.00
482168,84.00
484168,83.00
486169,83.00
488170,83.00
490171,83.00
492172,83.00
494173,83.00
496173,83.00
498173,82.00
500174,82.00
502175,83.00
504176,86.00
506177,153.00
508178,174.00
510178,187.00
512179,150.00
514180,117.00
516180,101.00
518181,93.00
520182,89.00
522183,86.00
524183,85.00
526184,84.00
528185,83.00
530186,83.00
532187,83.00
534188,83.00
536187,83.00
538188,82.00
540189,82.00
542190,82.00
544191,82.00
546192,82.00
548193,81.00
550193,81.00
552194,81.00
554194,81.00
556195,81.00
558196,81.00
560197,81.00
562197,81.00
564198,81.00
566199,81.00
568200,81.00
570201,81.00
572201,81.00
574201,81.00
576202,81.00
578203,81.00
580204,81.00
582205,81.00
584206,81.00
586206,81.00
588207,81.00
590208,81.00
592208,80.00
594209,80.00
596210,80.00
598210,80.00
600211,80.00
602212,80.00
604213,80.00
606214,80.00
608215,80.00
610215,80.00
612215,80.00
614216,80.00
616217,79.00
618218,79.00
620219,80.00
622220,80.00
624220,79.00
626221,80.00
628221,80.00
630222,79.00
632223,80.00
634224,80.00
636224,80.00
638225,80.00
640226,80.00
642227,80.00
644228,80.00
646228,80.00
648228,80.00
650229,80.00
652230,80.00
654231,80.00
656232,80.00
658233,80.00
660233,80.00
662234,80.00
664235,80.00
666235,80.00
668236,80.00
670237,80.00
672237,80.00
674238,80.00
676239,80.00
678240,80.00
680241,80.00
